,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
33,adamW,RandomNormal,,sigmoid,0.8989999890327454,0.8978333473205566,0.953166663646698,vanilla_NN,0
34,adamW,RandomNormal,,sigmoid,0.8996666669845581,0.8996666669845581,0.9107778072357178,vanilla_NN,0.3
35,adamW,RandomNormal,,sigmoid,0.893666684627533,0.8918333053588867,0.8911111354827881,vanilla_NN,0.5
36,adamW,RandomNormal,l1,relu,0.9049999713897705,0.8955000042915344,0.963351845741272,vanilla_NN,0
37,adamW,RandomNormal,l1,relu,0.9028333425521851,0.8963333368301392,0.9210740923881531,vanilla_NN,0.3
38,adamW,RandomNormal,l1,relu,0.8988333344459534,0.8981666564941406,0.8954814672470093,vanilla_NN,0.5
39,adamW,RandomNormal,l1,tanh,0.8991666436195374,0.8991666436195374,0.9667407274246216,vanilla_NN,0
40,adamW,RandomNormal,l1,tanh,0.890666663646698,0.887666642665863,0.9052037000656128,vanilla_NN,0.3
41,adamW,RandomNormal,l1,tanh,0.8855000138282776,0.8845000267028809,0.8806111216545105,vanilla_NN,0.5
42,adamW,RandomNormal,l1,sigmoid,0.8983333110809326,0.8953333497047424,0.9522777795791626,vanilla_NN,0
43,adamW,RandomNormal,l1,sigmoid,0.9003333449363708,0.8998333215713501,0.911907434463501,vanilla_NN,0.3
44,adamW,RandomNormal,l1,sigmoid,0.8933333158493042,0.8926666378974915,0.8910925984382629,vanilla_NN,0.5
45,adamW,RandomNormal,l2,relu,0.9013333320617676,0.8976666927337646,0.9642407298088074,vanilla_NN,0
46,adamW,RandomNormal,l2,relu,0.903166651725769,0.8958333134651184,0.9193148016929626,vanilla_NN,0.3
47,adamW,RandomNormal,l2,relu,0.8946666717529297,0.8881666660308838,0.8971111178398132,vanilla_NN,0.5
48,adamW,RandomNormal,l2,tanh,0.8999999761581421,0.8978333473205566,0.9672407507896423,vanilla_NN,0
49,adamW,RandomNormal,l2,tanh,0.8930000066757202,0.8896666765213013,0.9035184979438782,vanilla_NN,0.3
50,adamW,RandomNormal,l2,tanh,0.8865000009536743,0.8865000009536743,0.880314826965332,vanilla_NN,0.5
51,adamW,RandomNormal,l2,sigmoid,0.8989999890327454,0.8983333110809326,0.9527222514152527,vanilla_NN,0
52,adamW,RandomNormal,l2,sigmoid,0.8981666564941406,0.8973333239555359,0.9104629755020142,vanilla_NN,0.3
53,adamW,RandomNormal,l2,sigmoid,0.8914999961853027,0.8891666531562805,0.8888148069381714,vanilla_NN,0.5
54,adamW,GlorotNormal,,relu,0.9021666646003723,0.8930000066757202,0.9642221927642822,vanilla_NN,0
55,adamW,GlorotNormal,,relu,0.9038333296775818,0.9024999737739563,0.9194074273109436,vanilla_NN,0.3
56,adamW,GlorotNormal,,relu,0.8960000276565552,0.89083331823349,0.8935925960540771,vanilla_NN,0.5
57,adamW,GlorotNormal,,tanh,0.8989999890327454,0.8989999890327454,0.9648333191871643,vanilla_NN,0
58,adamW,GlorotNormal,,tanh,0.8939999938011169,0.8899999856948853,0.9027962684631348,vanilla_NN,0.3
59,adamW,GlorotNormal,,tanh,0.8836666941642761,0.8816666603088379,0.8788333535194397,vanilla_NN,0.5
60,adamW,GlorotNormal,,sigmoid,0.8974999785423279,0.8871666789054871,0.9491851925849915,vanilla_NN,0
61,adamW,GlorotNormal,,sigmoid,0.8996666669845581,0.8956666588783264,0.9111481308937073,vanilla_NN,0.3
62,adamW,GlorotNormal,,sigmoid,0.8934999704360962,0.8934999704360962,0.8921852111816406,vanilla_NN,0.5
63,adamW,GlorotNormal,l1,relu,0.9018333554267883,0.8980000019073486,0.9620925784111023,vanilla_NN,0
64,adamW,GlorotNormal,l1,relu,0.902999997138977,0.8958333134651184,0.9196666479110718,vanilla_NN,0.3
65,adamW,GlorotNormal,l1,relu,0.8970000147819519,0.8911666870117188,0.8924074172973633,vanilla_NN,0.5
66,adamW,GlorotNormal,l1,tanh,0.8989999890327454,0.8920000195503235,0.9650740623474121,vanilla_NN,0
67,adamW,GlorotNormal,l1,tanh,0.8939999938011169,0.89083331823349,0.9019073843955994,vanilla_NN,0.3
68,adamW,GlorotNormal,l1,tanh,0.8836666941642761,0.8830000162124634,0.8785185217857361,vanilla_NN,0.5
69,adamW,GlorotNormal,l1,sigmoid,0.8971666693687439,0.8955000042915344,0.9528518319129944,vanilla_NN,0
70,adamW,GlorotNormal,l1,sigmoid,0.9006666541099548,0.8993333578109741,0.9120000004768372,vanilla_NN,0.3
71,adamW,GlorotNormal,l1,sigmoid,0.8934999704360962,0.8934999704360962,0.8921481370925903,vanilla_NN,0.5
72,adamW,GlorotNormal,l2,relu,0.9024999737739563,0.8933333158493042,0.9641110897064209,vanilla_NN,0
73,adamW,GlorotNormal,l2,relu,0.902999997138977,0.902999997138977,0.9204815030097961,vanilla_NN,0.3
74,adamW,GlorotNormal,l2,relu,0.8985000252723694,0.8948333263397217,0.8933333158493042,vanilla_NN,0.5
75,adamW,GlorotNormal,l2,tanh,0.8978333473205566,0.8870000243186951,0.964555561542511,vanilla_NN,0
76,adamW,GlorotNormal,l2,tanh,0.8948333263397217,0.8933333158493042,0.9029074311256409,vanilla_NN,0.3
77,adamW,GlorotNormal,l2,tanh,0.8845000267028809,0.8809999823570251,0.8776296377182007,vanilla_NN,0.5
78,adamW,GlorotNormal,l2,sigmoid,0.8968333601951599,0.8928333520889282,0.9517777562141418,vanilla_NN,0
79,adamW,GlorotNormal,l2,sigmoid,0.8989999890327454,0.8951666951179504,0.9130926132202148,vanilla_NN,0.3
80,adamW,GlorotNormal,l2,sigmoid,0.8943333625793457,0.8918333053588867,0.8917407393455505,vanilla_NN,0.5
81,adamW,HeNormal,,relu,0.8996666669845581,0.8976666927337646,0.9537777900695801,vanilla_NN,0
82,adamW,HeNormal,,relu,0.8980000019073486,0.8933333158493042,0.9094629883766174,vanilla_NN,0.3
83,adamW,HeNormal,,relu,0.887333333492279,0.8803333044052124,0.8790740966796875,vanilla_NN,0.5
84,adamW,HeNormal,,tanh,0.890500009059906,0.8845000267028809,0.9299629926681519,vanilla_NN,0
85,adamW,HeNormal,,tanh,0.8889999985694885,0.8808333277702332,0.8885926008224487,vanilla_NN,0.3
86,adamW,HeNormal,,tanh,0.8813333511352539,0.8731666803359985,0.869092583656311,vanilla_NN,0.5
87,adamW,HeNormal,,sigmoid,0.8996666669845581,0.890500009059906,0.962759256362915,vanilla_NN,0
88,adamW,HeNormal,,sigmoid,0.903166651725769,0.8926666378974915,0.918833315372467,vanilla_NN,0.3
89,adamW,HeNormal,,sigmoid,0.8963333368301392,0.8960000276565552,0.8966110944747925,vanilla_NN,0.5
90,adamW,HeNormal,l1,relu,0.8999999761581421,0.8995000123977661,0.954370379447937,vanilla_NN,0
91,adamW,HeNormal,l1,relu,0.8976666927337646,0.8934999704360962,0.9070555567741394,vanilla_NN,0.3
92,adamW,HeNormal,l1,relu,0.8889999985694885,0.8818333148956299,0.88014817237854,vanilla_NN,0.5
93,adamW,HeNormal,l1,tanh,0.8924999833106995,0.8924999833106995,0.9295926094055176,vanilla_NN,0
