,optimizer,initializer,regularization,activation_function,best_valid_acc,dropout
95,adamW,RandomNormal,l1,tanh,0.887499988079071,0.5
96,adamW,RandomNormal,l1,sigmoid,0.8989999890327454,0
97,adamW,RandomNormal,l1,sigmoid,0.9028333425521851,0.3
98,adamW,RandomNormal,l1,sigmoid,0.9039999842643738,0.5
99,adamW,RandomNormal,l2,relu,0.8970000147819519,0
100,adamW,RandomNormal,l2,relu,0.9016666412353516,0.3
101,adamW,RandomNormal,l2,relu,0.8953333497047424,0.5
102,adamW,RandomNormal,l2,tanh,0.8911666870117188,0
103,adamW,RandomNormal,l2,tanh,0.8923333287239075,0.3
104,adamW,RandomNormal,l2,tanh,0.8901666402816772,0.5
105,adamW,RandomNormal,l2,sigmoid,0.8983333110809326,0
106,adamW,RandomNormal,l2,sigmoid,0.903333306312561,0.3
107,adamW,RandomNormal,l2,sigmoid,0.9014999866485596,0.5
108,adamW,RandomUniform,l1,relu,0.8996666669845581,0
109,adamW,RandomUniform,l1,relu,0.9016666412353516,0.3
110,adamW,RandomUniform,l1,relu,0.8988333344459534,0.5
111,adamW,RandomUniform,l1,tanh,0.8921666741371155,0
112,adamW,RandomUniform,l1,tanh,0.8898333311080933,0.3
113,adamW,RandomUniform,l1,tanh,0.8865000009536743,0.5
114,adamW,RandomUniform,l1,sigmoid,0.8993333578109741,0
115,adamW,RandomUniform,l1,sigmoid,0.9054999947547913,0.3
116,adamW,RandomUniform,l1,sigmoid,0.9035000205039978,0.5
117,adamW,RandomUniform,l2,relu,0.8978333473205566,0
118,adamW,RandomUniform,l2,relu,0.9008333086967468,0.3
119,adamW,RandomUniform,l2,relu,0.8943333625793457,0.5
120,adamW,RandomUniform,l2,tanh,0.8918333053588867,0
121,adamW,RandomUniform,l2,tanh,0.8886666893959045,0.3
122,adamW,RandomUniform,l2,tanh,0.8859999775886536,0.5
123,adamW,RandomUniform,l2,sigmoid,0.8985000252723694,0
124,adamW,RandomUniform,l2,sigmoid,0.9020000100135803,0.3
125,adamW,RandomUniform,l2,sigmoid,0.8991666436195374,0.5
126,adamW,GlorotNormal,l1,relu,0.9008333086967468,0
